Country,Time,Balance,Product,Value,Unit
Luxembourg,November 2012,Net Electricity Production,Solar,1.14,GWh
Netherlands,November 2012,Net Electricity Production,Solar,7.87,GWh
Belgium,October 2012,Net Electricity Production,Solar,168.699,GWh
Luxembourg,October 2012,Net Electricity Production,Solar,2.471,GWh
Netherlands,October 2012,Net Electricity Production,Solar,7.999,GWh
Belgium,September 2012,Net Electricity Production,Solar,246.609,GWh
Luxembourg,September 2012,Net Electricity Production,Solar,3.68,GWh
Netherlands,September 2012,Net Electricity Production,Solar,20.708,GWh
Belgium,August 2012,Net Electricity Production,Solar,307.751,GWh
Luxembourg,August 2012,Net Electricity Production,Solar,4.504,GWh
Netherlands,August 2012,Net Electricity Production,Solar,19.664,GWh
Belgium,July 2012,Net Electricity Production,Solar,243.81,GWh
Luxembourg,July 2012,Net Electricity Production,Solar,4.909,GWh
Netherlands,July 2012,Net Electricity Production,Solar,20.286,GWh
Belgium,June 2012,Net Electricity Production,Solar,203.71,GWh
Luxembourg,June 2012,Net Electricity Production,Solar,4.828,GWh
Netherlands,June 2012,Net Electricity Production,Solar,25.854,GWh
Belgium,May 2012,Net Electricity Production,Solar,262.241,GWh
Luxembourg,May 2012,Net Electricity Production,Solar,4.707,GWh
Netherlands,May 2012,Net Electricity Production,Solar,24.909,GWh
Belgium,April 2012,Net Electricity Production,Solar,156.511,GWh
Luxembourg,April 2012,Net Electricity Production,Solar,4.585,GWh
Netherlands,April 2012,Net Electricity Production,Solar,22.657,GWh
Belgium,March 2012,Net Electricity Production,Solar,229.087,GWh
Luxembourg,March 2012,Net Electricity Production,Solar,3.611,GWh
Netherlands,March 2012,Net Electricity Production,Solar,10.245,GWh
Belgium,February 2012,Net Electricity Production,Solar,131.798,GWh
Luxembourg,February 2012,Net Electricity Production,Solar,1.83,GWh
Netherlands,February 2012,Net Electricity Production,Solar,10.893,GWh
Belgium,January 2012,Net Electricity Production,Solar,67.207,GWh
Luxembourg,January 2012,Net Electricity Production,Solar,1.067,GWh
Netherlands,January 2012,Net Electricity Production,Solar,10.926,GWh
Belgium,December 2011,Net Electricity Production,Solar,28.825,GWh
Luxembourg,December 2011,Net Electricity Production,Solar,0.636,GWh
Netherlands,December 2011,Net Electricity Production,Solar,5.491,GWh
Belgium,November 2011,Net Electricity Production,Solar,64.035,GWh
Luxembourg,November 2011,Net Electricity Production,Solar,0.767,GWh
Netherlands,November 2011,Net Electricity Production,Solar,4.719,GWh
Belgium,October 2011,Net Electricity Production,Solar,113.046,GWh
Luxembourg,October 2011,Net Electricity Production,Solar,1.662,GWh
Netherlands,October 2011,Net Electricity Production,Solar,11.21,GWh
Belgium,September 2011,Net Electricity Production,Solar,130.928,GWh
Luxembourg,September 2011,Net Electricity Production,Solar,2.475,GWh
Netherlands,September 2011,Net Electricity Production,Solar,10.274,GWh
Belgium,August 2011,Net Electricity Production,Solar,141.799,GWh
Luxembourg,August 2011,Net Electricity Production,Solar,3.029,GWh
